gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000154646	1982.8091824266965	0.16882281638403723	0.20908369998054183	0.8074413089100134	0.4194122755761029	0.9576207126864448
ENSG00000184900	2709.559809201131	-0.17657107757852272	0.22017616359656716	-0.8019536479073963	0.42257977137555974	0.9576207126864448
ENSG00000241945	3578.235408508611	0.14541148702471599	0.18168499618026318	0.800349451423289	0.4235083592182694	0.9576207126864448
ENSG00000185808	5695.3058257320845	0.13172955801695418	0.16520600708803707	0.7973654247739096	0.42523883350128217	0.9576207126864448
ENSG00000160201	6881.474262553738	-0.1514881154888318	0.19240568731549912	-0.7873369940485577	0.43108461915109486	0.9576207126864448
ENSG00000142188	3698.3282575309886	0.1396611570029677	0.17802374792390782	0.7845085761404297	0.4327417516860263	0.9576207126864448
ENSG00000175894	4292.111956309414	0.16293794670029868	0.20930409465393465	0.7784747210497808	0.4362892036296265	0.9576207126864448
ENSG00000205758	7744.318763110993	-0.1214682059282922	0.1566440896855977	-0.7754407215241415	0.4380792805112991	0.9576207126864448
ENSG00000278961	1568.0813924767122	-0.19751560361658296	0.2573744195523739	-0.7674251542173558	0.4428287776115654	0.9576207126864448
ENSG00000154645	5265.471849453655	-0.12279093589450057	0.1602815028868675	-0.7660954862718681	0.443619488537983	0.9576207126864448
ENSG00000173638	6804.485817877085	0.11892000034974336	0.1558984622850541	0.7628041906680445	0.44558018151372436	0.9576207126864448
ENSG00000160221	5568.142072214778	-0.12875575378335413	0.17576611428124228	-0.7325402527664282	0.46383888332239426	0.9576207126864448
ENSG00000157601	8439.02799339517	0.11860610446682696	0.16325664146253482	0.7265009460215157	0.4675317277621745	0.9576207126864448
ENSG00000183778	8424.090874960975	-0.1401653082554144	0.1958551951186092	-0.7156578520704074	0.474202642021838	0.9576207126864448
ENSG00000276076	1018.2234235061516	0.17942728976091926	0.2513747313661952	0.7137841134061121	0.47536068472472703	0.9576207126864448
ENSG00000142166	2806.1245539849974	-0.12969595906514414	0.18326932401700774	-0.7076795844628537	0.479144258264169	0.9576207126864448
ENSG00000141956	21320.878115047846	0.10245328404933882	0.14563116853209915	0.7035120646357835	0.4817366908139445	0.9576207126864448
ENSG00000159259	1949.6775714939324	-0.1659044649279888	0.2412657744089117	-0.6876419389963035	0.4916782910683685	0.9576207126864448
ENSG00000170262	1249.9420208789495	0.17456304721237914	0.2547887056567884	0.6851286706857534	0.49326272964886453	0.9576207126864448
ENSG00000186971	246.65937704297693	0.2627706529736129	0.38671213348064076	0.6794993749188051	0.4968215035557247	0.9576207126864448
ENSG00000188155	514.1040047162379	-0.26429298413560587	0.3897412665460903	-0.6781241988506519	0.49769294871427716	0.9576207126864448
ENSG00000155313	7624.372660033332	-0.1077775327392175	0.1613132906031217	-0.6681255607411918	0.5040534469420196	0.9576207126864448
ENSG00000160216	12614.014530933038	0.10021253184950275	0.15312653205902738	0.6544426397044812	0.5128266708272106	0.9576207126864448
ENSG00000186866	7826.812871667271	-0.12684672453766754	0.19499872859074394	-0.6505002645626922	0.5153691309055319	0.9576207126864448
ENSG00000212935	353.52806364526015	0.2649078391419266	0.40981147701243986	0.646413909813183	0.5180113344912447	0.9576207126864448
ENSG00000205927	1801.6366545203855	-0.15795344029863498	0.24556645082712755	-0.6432207647527151	0.5200808614180956	0.9576207126864448
ENSG00000184787	5732.652482668711	-0.1073368777791883	0.1672963817210623	-0.6415971264588013	0.5211347992313349	0.9576207126864448
ENSG00000212933	116.24020121778621	-0.36086213619040514	0.5642035059571016	-0.6395956997435652	0.5224354789008699	0.9576207126864448
ENSG00000186977	156.26393985979846	0.32429546387543373	0.5080201023130054	0.6383516368720902	0.523244805664939	0.9576207126864448
ENSG00000159212	2244.1020825866535	-0.1436888302284922	0.22660401892663634	-0.6340965659351868	0.5260178037554336	0.9576207126864448
ENSG00000156284	722.5252339801376	-0.18464757993005187	0.2931537826239025	-0.6298659300157926	0.5287823053618076	0.9576207126864448
ENSG00000206107	218.71779415310576	-0.28642038948484766	0.4583806768921346	-0.6248526692416566	0.5320677589578844	0.9576207126864448
ENSG00000206102	96.358307179825	-0.3472688871761745	0.5578699010086153	-0.6224908111162132	0.5336191840706683	0.9576207126864448
ENSG00000276612	474.58898624487136	-0.2312340036187441	0.37289501364237204	-0.620104842272069	0.535188764392674	0.9576207126864448
ENSG00000198862	10175.28642513061	0.10192315078946254	0.16695683139189776	0.6104760730048735	0.54154648862905	0.9576207126864448
ENSG00000205439	165.43623693160163	0.31470377470340316	0.5166504893989387	0.6091231522291279	0.542442812568876	0.9576207126864448
ENSG00000142185	10186.341724503032	0.10906250444193658	0.18129167543384722	0.6015858377442882	0.5474498582904026	0.9576207126864448
ENSG00000187026	143.19319858510477	-0.33332853893893083	0.565951543609923	-0.5889701030105761	0.5558813293356091	0.9576207126864448
ENSG00000166979	5424.528063656356	-0.09229413900976227	0.15696574094803545	-0.5879890634244632	0.5565396336595371	0.9576207126864448
ENSG00000280071	3228.9700954538926	-0.11545410297956461	0.20136374213617692	-0.5733609325828186	0.5664003365775927	0.9576207126864448
ENSG00000182816	247.20647489695736	0.2309968733134386	0.4060213820955753	0.5689278533096149	0.5694051022176533	0.9576207126864448
ENSG00000273590	3049.1249718151685	-0.10749758274643423	0.19423983576951703	-0.553427067730791	0.5799710084347152	0.9576207126864448
